,CET,Mean TemperatureC, Mean Humidity, Max Wind SpeedKm/h, CloudCover
1,1997-01-02,3.0,92.0,26,5.0
8,1997-01-09,10.0,65.0,48,4.0
45,1997-02-15,10.0,54.0,29,2.0
106,1997-04-17,17.0,72.0,26,6.0
124,1997-05-05,17.0,66.0,45,4.0
125,1997-05-06,13.0,58.0,37,4.0
126,1997-05-07,11.0,57.0,37,5.0
134,1997-05-15,17.0,74.0,26,4.0
135,1997-05-16,16.0,76.0,23,5.0
138,1997-05-19,16.0,66.0,34,6.0
144,1997-05-25,16.0,85.0,24,6.0
151,1997-06-01,18.0,66.0,35,4.0
178,1997-06-28,16.0,57.0,37,5.0
189,1997-07-09,23.0,60.0,32,3.0
195,1997-07-15,24.0,52.0,48,6.0
202,1997-07-22,24.0,64.0,29,5.0
203,1997-07-23,23.0,62.0,35,5.0
209,1997-07-29,27.0,50.0,37,5.0
226,1997-08-15,28.0,37.0,34,4.0
234,1997-08-23,29.0,47.0,40,4.0
236,1997-08-25,22.0,66.0,27,6.0
238,1997-08-27,22.0,42.0,34,5.0
239,1997-08-28,18.0,42.0,37,3.0
272,1997-09-30,22.0,57.0,29,3.0
307,1997-11-04,16.0,74.0,24,6.0
309,1997-11-06,11.0,70.0,58,5.0
311,1997-11-08,12.0,72.0,37,5.0
314,1997-11-11,10.0,68.0,29,5.0
332,1997-11-29,9.0,75.0,29,4.0
337,1997-12-04,2.0,72.0,39,7.0
350,1997-12-17,11.0,88.0,37,7.0
351,1997-12-18,10.0,77.0,42,6.0
352,1997-12-19,9.0,79.0,29,5.0
358,1997-12-25,7.0,88.0,11,6.0
376,1998-01-12,9.0,81.0,37,6.0
377,1998-01-13,8.0,71.0,34,4.0
416,1998-02-21,8.0,84.0,26,5.0
434,1998-03-11,10.0,60.0,34,4.0
451,1998-03-28,16.0,70.0,14,6.0
452,1998-03-29,13.0,88.0,23,8.0
464,1998-04-10,7.0,68.0,47,6.0
480,1998-04-26,13.0,66.0,45,5.0
482,1998-04-28,11.0,63.0,37,5.0
484,1998-04-30,11.0,60.0,34,5.0
494,1998-05-10,17.0,60.0,29,6.0
511,1998-05-27,16.0,70.0,32,7.0
520,1998-06-05,18.0,75.0,34,6.0
546,1998-07-01,22.0,58.0,40,4.0
591,1998-08-15,27.0,51.0,40,6.0
632,1998-09-25,17.0,82.0,32,7.0
636,1998-09-29,18.0,83.0,37,5.0
642,1998-10-05,12.0,84.0,19,5.0
671,1998-11-03,17.0,81.0,34,6.0
672,1998-11-04,13.0,81.0,29,6.0
718,1998-12-20,6.0,74.0,48,3.0
738,1999-01-09,6.0,91.0,47,6.0
739,1999-01-10,3.0,64.0,39,3.0
791,1999-03-03,8.0,71.0,47,6.0
799,1999-03-11,12.0,72.0,34,5.0
815,1999-03-27,8.0,57.0,42,5.0
835,1999-04-16,6.0,68.0,39,4.0
846,1999-04-27,11.0,79.0,29,6.0
880,1999-05-31,23.0,50.0,55,6.0
893,1999-06-13,23.0,58.0,45,4.0
897,1999-06-17,22.0,52.0,45,3.0
936,1999-07-26,26.0,49.0,53,4.0
977,1999-09-05,22.0,57.0,29,4.0
1090,1999-12-27,12.0,82.0,48,6.0
1091,1999-12-28,8.0,57.0,52,4.0
1315,2000-11-13,10.0,78.0,23,5.0
1325,2000-11-23,10.0,71.0,45,5.0
1339,2000-12-07,13.0,79.0,61,5.0
1354,2000-12-22,7.0,82.0,34,6.0
1362,2000-12-30,7.0,68.0,48,4.0
1387,2001-01-24,10.0,83.0,32,5.0
1424,2001-03-02,9.0,90.0,40,6.0
1425,2001-03-03,11.0,81.0,47,5.0
1430,2001-03-08,10.0,80.0,35,4.0
1438,2001-03-16,9.0,70.0,35,6.0
1448,2001-03-26,9.0,83.0,27,5.0
1655,2001-10-19,13.0,89.0,42,6.0
1731,2002-01-03,8.0,94.0,21,6.0
1749,2002-01-21,4.0,84.0,21,3.0
1750,2002-01-22,4.0,85.0,19,4.0
1751,2002-01-23,8.0,89.0,29,6.0
1764,2002-02-05,10.0,86.0,40,6.0
1769,2002-02-10,7.0,91.0,11,1.0
1786,2002-02-27,6.0,81.0,21,6.0
1788,2002-03-01,8.0,74.0,26,5.0
1799,2002-03-12,13.0,55.0,29,4.0
1800,2002-03-13,10.0,70.0,35,6.0
1801,2002-03-14,8.0,84.0,50,6.0
1802,2002-03-15,9.0,83.0,24,5.0
1803,2002-03-16,8.0,90.0,11,6.0
1804,2002-03-17,4.0,89.0,23,5.0
1820,2002-04-02,12.0,50.0,21,5.0
1821,2002-04-03,8.0,62.0,37,5.0
1823,2002-04-05,7.0,72.0,19,4.0
1824,2002-04-06,9.0,83.0,27,5.0
1825,2002-04-07,9.0,76.0,50,5.0
1850,2002-05-02,11.0,51.0,40,4.0
1865,2002-05-17,18.0,50.0,35,5.0
1870,2002-05-22,17.0,55.0,37,6.0
1883,2002-06-04,18.0,47.0,37,4.0
1884,2002-06-05,17.0,61.0,40,5.0
1885,2002-06-06,13.0,65.0,29,4.0
1886,2002-06-07,13.0,67.0,27,4.0
1905,2002-06-26,29.0,38.0,35,4.0
1909,2002-06-30,22.0,56.0,37,4.0
1932,2002-07-23,20.0,51.0,23,3.0
1967,2002-08-27,18.0,59.0,27,4.0
1979,2002-09-08,19.0,58.0,29,5.0
1980,2002-09-09,18.0,60.0,21,4.0
1987,2002-09-16,20.0,76.0,26,6.0
1988,2002-09-17,20.0,77.0,26,5.0
1989,2002-09-18,20.0,73.0,27,6.0
1991,2002-09-20,20.0,70.0,16,5.0
1993,2002-09-22,18.0,76.0,19,5.0
2001,2002-09-30,19.0,65.0,35,5.0
2010,2002-10-09,13.0,76.0,37,4.0
2011,2002-10-10,10.0,72.0,21,5.0
2021,2002-10-20,12.0,79.0,13,5.0
2022,2002-10-21,16.0,82.0,45,5.0
2023,2002-10-22,14.0,72.0,40,3.0
2035,2002-11-03,16.0,86.0,19,5.0
2043,2002-11-11,10.0,83.0,14,6.0
2045,2002-11-13,11.0,79.0,48,5.0
2046,2002-11-14,8.0,89.0,24,5.0
2047,2002-11-15,8.0,87.0,16,6.0
